Plate,Position,Genotype,Weighted mean of relative MSD,Standard error of relative MSD,Number of replicates for MSD,Relative colony area mean,Relative colony area standard error,Relative front roughness mean,Relative front roughness standard error,Relative growth layer depth mean,Relative growth layer depth standard error,Relative colony thickness mean,Relative colony thickness standard error,Number of replicates for phenotypic traits,Cell major axis,Cell minor axis,Cell aspect ratio,Cell major axis standard error,Cell minor axis standard error,Cell volume,Cell surface area
DE1,63,ydiU,nan,nan,0,,,,,,,,,0,42.49107871,12.7021052,3.345199716,nan,nan,4668.031389,1645.98803
DE1,64,ybjE,1.194427802,0.128926623,3,0.817708986,0.011376453,0.869917074,0.009232034,1.072532201,0.014054061,1.036299448,1.54E-06,3,41.80512363,13.25630018,3.153604178,nan,nan,4950.574862,1687.005516
DE1,65,yeaA,nan,nan,0,,,,,,,,,0,33.43584324,13.23714746,2.525910008,nan,nan,3798.255813,1338.899399
DE1,66,btuF,nan,nan,0,,,,,,,,,0,38.57945605,13.19862964,2.922989515,nan,nan,4479.488722,1548.62785
DE1,67,yeiH,nan,nan,0,,,,,,,,,0,41.87465115,13.60635121,3.077581235,nan,nan,5261.705137,1746.555973
DE1,68,yafP,nan,nan,0,,,,,,,,,0,38.716578,12.95708799,2.988061671,nan,nan,4306.673764,1517.241981
DE1,69,ddpX,0.613374737,0.071465915,3,0.61879606,0.008669432,0.42493976,0.004627646,1.559044197,0.024035036,1.094076538,1.72E-06,3,46.19912929,13.38010972,3.452821408,nan,nan,5672.822465,1893.511312
DE1,70,rsxA,1.061639782,0.115966128,3,0.97726938,0.020297864,0.799615173,0.009962902,1.087888501,0.021339322,1.018860288,1.66E-06,2,39.62763317,13.12793491,3.018573252,nan,nan,4557.449911,1577.459698
DE1,71,ycbB,1.110249544,0.14168851,3,1.037246866,0.014364182,0.997567694,0.010154893,0.883594654,0.025271062,0.961701773,1.31E-06,3,39.64272579,12.84505615,3.086224407,nan,nan,4403.46505,1551.747568
DE1,72,WT,0.935596459,0.09328775,3,0.986650918,0.013653009,0.921472591,0.009310867,0.939995119,0.013256031,1.035719991,1.49E-06,3,nan,nan,nan,nan,nan,nan,nan
DE1,73,ybdB,nan,nan,1,,,,,,,,,0,34.26488129,12.19541714,2.809652256,nan,nan,3360.737271,1266.153147
DE1,74,yehZ,nan,nan,1,,,,,,,,,0,36.32126654,11.93661402,3.042845021,nan,nan,3424.017537,1307.180046
DE1,75,yfcG,1.018929163,0.107079124,3,0.867892972,0.012003853,1.131516946,0.013411634,0.948987636,0.011965948,0.99554214,1.46E-06,3,29.11461408,12.34681937,2.358065928,nan,nan,2828.429,1084.262568
DE1,76,ycaO,nan,nan,1,,,,,,,,,0,35.50419386,12.68224872,2.799518812,nan,nan,3773.890951,1366.094856
DE1,77,yfeT,1.01970907,0.124920275,3,0.877241832,0.012137102,1.171056972,0.014753862,1.116654864,0.026999801,1.031984961,1.52E-06,3,31.23685879,12.36690383,2.525843106,nan,nan,3094.425242,1168.917174
DE1,78,ybgC,0.501754349,0.073302915,3,0.643789385,0.009018661,0.493032478,0.005659406,1.084002469,0.013580353,1.087267734,1.76E-06,3,53.81832881,12.84818569,4.188788216,nan,nan,6215.53376,2118.021397
DE1,79,yfhH,nan,nan,0,,,,,,,,,0,32.95881231,12.44958437,2.647382541,nan,nan,3320.022535,1237.765703
DE1,80,ygbM,nan,nan,0,,,,,,,,,0,36.69585082,12.45298082,2.946752377,nan,nan,3813.154882,1393.342203
DE1,81,yfgA,nan,nan,0,,,,,,,,,0,46.80783889,11.54494528,4.054401105,nan,nan,4343.379726,1652.858495
DE1,82,ygbJ,1.027941475,0.11956967,3,0.999999164,0.013845621,1.02276943,0.011515905,1.245542089,0.032034985,1.031245712,1.42E-06,3,40.71280234,12.91826396,3.151569164,nan,nan,4594.658237,1606.430454
DE1,83,ydaO,0.904666881,0.124696425,3,0.948193375,0.019831785,1.301629,0.035675176,1.205759912,0.055271143,0.900388135,1.56E-06,2,38.23425867,12.67870306,3.015628529,nan,nan,4111.575885,1472.789395
DE1,84,WT,1.011858337,0.102623028,3,1.001178633,0.013879893,0.976175898,0.012778634,0.979543528,0.016843782,0.932812986,1.39E-06,3,nan,nan,nan,nan,nan,nan,nan
DE1,85,yccM,0.739223132,0.092288989,3,0.707146133,0.00977508,0.660702796,0.008335051,1.19662883,0.023338085,1.039760634,1.67E-06,3,41.73090713,12.57894677,3.317519971,nan,nan,4468.451616,1594.276948
DE1,86,ycjT,0.875996748,0.116973183,2,0.843655296,0.012353592,1.248180972,0.017760233,1.184217752,0.022405114,0.990499541,1.87E-06,2,40.98496014,12.92104388,3.171954257,nan,nan,4618.715468,1614.404676
DE1,87,yqcD,0.797194549,0.097529074,3,0.839142318,0.012353322,1.098892495,0.011050568,1.167088987,0.031355404,0.951489112,1.85E-06,2,42.14899601,12.58781302,3.348397051,nan,nan,4514.612253,1609.94499
DE1,88,ydiP,1.04179364,0.11204753,3,1.064655664,0.014805843,1.047496249,0.011182306,0.96454894,0.017199753,1.002142701,1.39E-06,3,41.94942076,12.67757584,3.308946544,nan,nan,4572.16054,1619.814065
DE1,89,yaiX,1.125478832,0.163616814,2,0.929356288,0.013619251,1.025360766,0.013313894,1.236622404,0.036118965,0.998949934,1.75E-06,2,41.06278268,13.88456167,2.957441772,nan,nan,5326.754777,1742.193558
DE1,90,ybaE,0.556991018,0.081144335,2,,,,,,,,,1,47.87088429,13.85281817,3.455678383,nan,nan,6259.98039,2019.940225
DE1,91,mntR,1.248063764,0.209406437,3,0.855000757,0.01182387,0.989150565,0.008310504,0.924089308,0.024678261,0.917405004,1.33E-06,3,54.15484437,13.67434907,3.960323384,nan,nan,7030.962233,2263.462884
DE1,92,ybhN,nan,nan,0,,,,,,,,,0,43.72520186,13.76011088,3.177678018,nan,nan,5605.635072,1837.178872
DE1,93,ybeX,1.166283435,0.127200957,3,0.919791111,0.012730413,1.338084225,0.012853989,1.262849038,0.042838954,1.000401626,1.53E-06,3,43.35441135,14.19282001,3.054672104,nan,nan,5907.44122,1883.211583
DE1,94,ycaC,nan,nan,0,,,,,,,,,0,46.93650709,13.96872979,3.360112752,nan,nan,6341.833893,2015.842422
DE1,95,ybaK,nan,nan,0,,,,,,,,,0,46.11795949,14.25104635,3.236110412,nan,nan,6396.133032,2014.709562
DE2,0,ybgJ,1.038850668,0.211200858,2,,,,,,,,,0,46.61983544,13.98746528,3.332972378,nan,nan,6215.591429,1991.726464
DE2,1,wcaI,0.423220835,0.249567198,2,0.871188208,0.014291451,1.613953522,0.021893854,2.008608136,0.271133946,1.005978674,1.91E-06,2,38.05960569,13.58559744,2.801467206,nan,nan,4640.364111,1567.544356
DE2,2,yqjB,nan,nan,1,,,,,,,,,1,39.36505342,14.2187574,2.768529788,nan,nan,5280.448957,1704.80919
DE2,3,WT,1.126844555,0.143458641,3,0.960403485,0.016234911,1.142863826,0.010097865,0.963304757,0.015380529,0.970238235,1.85E-06,2,nan,nan,nan,nan,nan,nan,nan
DE2,4,yeiT,nan,nan,1,,,,,,,,,0,39.22438805,13.18243356,2.975504323,nan,nan,4577.233778,1575.540976
DE2,5,yhhW,0.906569493,0.204347299,2,,,,,,,,,1,49.56458033,14.09156751,3.517321994,nan,nan,6679.776668,2115.425852
DE2,6,csdA,0.291085149,0.064777154,3,,,,,,,,,0,42.37126445,13.32829177,3.179046887,nan,nan,5086.875837,1721.037972
DE2,7,yajG,nan,nan,1,1.063103837,0.020294029,1.72420076,0.016741048,1.174158624,0.049127534,0.927034393,1.68E-06,2,44.44386042,13.38058264,3.321519071,nan,nan,5351.664137,1797.167868
DE2,8,ybaY,1.128904942,0.183643704,2,0.807859497,0.013669296,1.123467718,0.014223111,1.127234014,0.031980139,0.933082733,2.01E-06,2,47.37458859,14.77621242,3.206138842,nan,nan,6932.435077,2118.830718
DE2,9,iscR,1.301925108,0.276780702,2,,,,,,,,,1,40.31056241,13.12297454,3.071754981,nan,nan,4645.338424,1605.428801
DE2,10,yadC,1.332395199,0.347163784,2,1.152648674,0.021981655,1.698591506,0.019138133,0.942413298,0.033341586,0.939529852,1.61E-06,2,36.73713442,13.829917,2.656352486,nan,nan,4617.874653,1543.530965
DE2,11,yejF,1.315545361,0.203746605,3,0.988393296,0.014077157,1.704876135,0.01453825,1.07280388,0.026876352,0.957643999,1.43E-06,3,44.66808099,13.0811356,3.41469444,nan,nan,5210.165656,1782.840115
DE2,12,ydjF,0.971872241,0.115294874,3,0.960663561,0.013621527,1.363087219,0.013612501,1.106405868,0.022094345,1.034886359,1.59E-06,3,37.99591741,14.08035963,2.698504755,nan,nan,4962.596403,1624.448123
DE2,13,mdtJ,nan,nan,1,,,,,,,,,1,39.42904829,13.66278722,2.885871503,nan,nan,4912.592257,1642.862973
DE2,14,yfgC,0.187699141,0.051134539,3,0.524573013,0.007436832,0.369604039,0.003617501,1.970082203,0.047539335,0.831487782,1.65E-06,3,36.96071464,13.50975988,2.735852819,nan,nan,4444.544757,1518.177078
DE2,15,WT,1.044551563,0.1462136,3,0.91947998,0.013030118,0.963014346,0.010296744,1.0101326,0.014722039,1.003245993,1.53E-06,3,nan,nan,nan,nan,nan,nan,nan
DE2,16,macA,0.529575171,0.071243844,3,0.70168001,0.009942871,0.505345526,0.004449774,1.370691373,0.011276163,1.032845673,1.77E-06,3,40.98526416,13.36134783,3.067449834,nan,nan,4942.793592,1672.893794
DE2,17,nfrA,nan,nan,0,0.681496692,0.01299661,1.458039116,0.019185362,,,1.001187693,2.24E-06,2,46.74528043,14.00406019,3.337980542,nan,nan,6307.345468,2002.293296
DE2,18,yiaK,nan,nan,1,,,,,,,,,1,41.94061083,13.07327474,3.208118216,nan,nan,4860.249813,1673.279758
DE2,19,yeaG,0.843091602,0.140141651,3,0.863693342,0.012246911,0.879989702,0.008923637,1.021454482,0.013929073,0.979888558,1.55E-06,3,46.96782708,13.24803651,3.545267033,nan,nan,5653.685005,1898.421055
DE2,20,ymfH,1.016147707,0.134588896,3,0.895944047,0.012709463,1.964064482,0.021611607,1.107385118,0.021914286,0.988753268,1.54E-06,3,48.01060407,13.24499728,3.624810414,nan,nan,5713.640479,1926.957332
DE2,21,gor,0.926957003,0.157239572,3,0.923362215,0.013100702,0.644436363,0.006701412,1.300897998,0.021695516,1.000042307,1.41E-06,3,47.41814605,13.55816611,3.49738642,nan,nan,5988.424845,1962.924835
DE2,22,ogt,nan,nan,0,,,,,,,,,0,45.83846877,13.0603934,3.509731089,nan,nan,5353.837269,1826.431469
DE2,23,gst,nan,nan,1,,,,,,,,,0,39.44480967,13.87289109,2.843301328,nan,nan,4992.855472,1654.638202
DE2,24,yafU,1.119864268,0.117432496,3,,,,,,,,,1,45.490516,13.57758343,3.350413291,nan,nan,5687.767155,1882.033553
DE2,25,ygjE,nan,nan,1,,,,,,,,,1,40.3422932,13.94437922,2.893086352,nan,nan,5201.967733,1706.986924
DE2,26,ydjL,0.798791914,0.104631248,3,0.848244902,0.012017017,0.574588813,0.004966439,0.942596822,0.009308411,1.04356426,1.65E-06,3,43.80115068,13.68815384,3.199931209,nan,nan,5571.738369,1829.946707
DE2,27,WT,1.09120059,0.126895845,3,1.04220609,0.014766583,0.991835128,0.009622514,0.958187952,0.010676319,1.010905566,1.40E-06,3,nan,nan,nan,nan,nan,nan,nan
DE2,28,yhbQ,nan,nan,1,,,,,,,,,1,41.66696633,13.17023834,3.16372151,nan,nan,4965.671457,1683.924182
DE2,29,yraH,nan,nan,1,,,,,,,,,1,34.5853923,12.31711947,2.807912384,nan,nan,3477.815171,1290.096143
DE2,30,ybdR,1.140213073,0.189606373,3,,,,,,,,,1,46.43270392,13.24932878,3.504532546,nan,nan,5543.680811,1871.390694
DE2,31,xdhB,0.810590385,0.110573058,2,0.962040856,0.016271346,1.057556225,0.013229131,1.063219026,0.014341679,0.972361561,1.74E-06,2,41.95437659,13.13593204,3.193863707,nan,nan,4897.839779,1679.43505
DE2,32,yqfB,1.030927272,0.142569149,3,0.857705058,0.012164052,1.032858522,0.010636036,1.044152621,0.014608914,0.968852189,1.55E-06,3,48.52059519,13.48011794,3.599419191,nan,nan,6007.748941,1991.695745
DE2,33,yghD,0.758300006,0.105727454,3,0.958190901,0.01361459,1.074465428,0.010614932,0.980130076,0.012247727,0.992246342,1.47E-06,3,46.3120264,13.04933494,3.548995151,nan,nan,5419.622215,1847.33401
DE2,34,nlpI,0.8915301,0.105739037,3,0.905509094,0.012903625,0.76397469,0.007866724,1.060036209,0.011754926,0.858101675,1.25E-06,3,54.89755389,11.60611069,4.730056034,nan,nan,5217.085591,1945.528772
DE2,35,yrbC,nan,nan,0,,,,,,,,,0,41.85196319,13.43170244,3.11590905,nan,nan,5076.7689,1709.936998
DE2,36,yhdE,nan,nan,1,,,,,,,,,1,45.60378005,13.51279719,3.374858618,nan,nan,5654.603503,1874.83357
DE2,37,mdtF,1.01043855,0.123102291,2,0.966676824,0.016365882,0.913394552,0.010824628,0.997778893,0.012483193,1.010175893,1.85E-06,2,40.69154343,13.71826399,2.966231255,nan,nan,5084.296407,1693.00402
DE2,38,yhjV,0.773406542,0.081408476,3,0.977071216,0.013841911,0.799219279,0.007728678,1.145961191,0.007561962,0.953461803,1.39E-06,3,39.48328279,12.44680647,3.172161702,nan,nan,4097.873736,1489.122093
DE2,39,WT,1.146394519,0.153360705,3,0.947631707,0.013427968,0.932633569,0.009166995,0.997816877,0.012125795,1.002231995,1.49E-06,3,nan,nan,nan,nan,nan,nan,nan
DE2,40,yhiP,nan,nan,0,,,,,,,,,0,43.1423986,13.16510424,3.277026738,nan,nan,5036.278053,1723.789099
DE2,41,yiaG,nan,nan,1,0.926585148,0.017679418,1.686937759,0.021454571,1.040027511,0.01748738,0.99280324,1.89E-06,2,46.25251111,13.22612394,3.497057137,nan,nan,5503.057262,1859.878894
DE2,42,yicH,0.837217719,0.12609989,2,0.970659741,0.01640896,0.966658515,0.011569787,1.012931348,0.014036539,0.998849088,1.82E-06,2,47.50250702,13.07869119,3.632053569,nan,nan,5578.553461,1895.85277
DE2,43,rmuC,0.92088724,0.134487483,3,,,,,,,,,1,49.16087564,12.90826146,3.808481553,nan,nan,5668.194744,1939.90571
DE2,44,rlmB,nan,nan,1,,,,,,,,,0,42.51003573,13.10451077,3.243923904,nan,nan,4990.259801,1706.468245
DE2,45,ade,nan,nan,0,,,,,,,,,0,51.26462177,13.00400368,3.942218338,nan,nan,6042.184225,2039.896928
DE2,46,yifB,nan,nan,1,,,,,,,,,0,nan,nan,nan,nan,nan,nan,nan
DE2,47,yihT,nan,nan,0,,,,,,,,,0,52.79802572,12.92321353,4.085518327,nan,nan,6180.040732,2092.195395
DE2,48,yihU,1.096393635,0.117737603,3,1.068371353,0.018064595,1.396685328,0.017121974,0.981727144,0.016911836,0.973295586,1.77E-06,2,49.38325978,13.00186666,3.798166914,nan,nan,5810.952907,1969.811788
DE2,49,ompL,nan,nan,0,,,,,,,,,0,46.3372732,13.04436273,3.552283399,nan,nan,5417.890363,1846.259593
DE2,50,hofC,nan,nan,1,,,,,,,,,1,34.49486971,12.57328325,2.743505337,nan,nan,3617.451259,1323.350407
DE2,51,WT,0.886658979,0.146744988,3,1.057367515,0.014982912,0.907129617,0.008394909,0.922954906,0.010930913,1.007866577,1.39E-06,3,nan,nan,nan,nan,nan,nan,nan
DE2,52,dinF,nan,nan,0,,,,,,,,,0,40.37429016,13.30857991,3.033703854,nan,nan,4801.84776,1640.129632
DE2,53,yjjU,1.025367667,0.119477112,3,0.948645892,0.016037179,0.750697342,0.008517062,1.013046092,0.010140366,0.968295494,1.77E-06,2,37.29770242,11.90179497,3.133788014,nan,nan,3583.813224,1357.617392
DE2,54,sbcC,0.825875159,0.100181713,3,,,,,,,,,1,39.18815212,12.03571272,3.255989325,nan,nan,3860.985803,1439.100996
DE2,55,fhuC,1.238066136,0.159964591,3,0.873239345,0.012374735,1.175154237,0.012037605,0.936909475,0.013288046,1.01457966,1.58E-06,3,36.63809992,12.30123334,2.97840866,nan,nan,3726.707573,1376.256166
DE2,56,alkA,0.637166898,0.108147032,2,0.834263522,0.014127426,1.66366381,0.020920923,1.172219183,0.01345111,0.995562111,2.05E-06,2,37.78200155,12.3962444,3.047858718,nan,nan,3913.310707,1429.028025
