,Genotype,Chloramphenicol concentration (ug/mL),Expected initial mutant fraction,Measured initial mutant fraction,Measured initial mutant fraction error,Replicate,Establishment probability,Establishment probability error
221,MG1655,1,0.002,0.001784845,0.000537671,5,0,0
222,MG1655,1,0.002,0.001784845,0.000537671,6,0,0
223,MG1655,1,0.002,0.001784845,0.000537671,7,0,0
224,MG1655,1,0.005,0.002087683,0.001042751,0,0,0
225,MG1655,1,0.005,0.002087683,0.001042751,1,0,0
226,MG1655,1,0.005,0.002087683,0.001042751,2,0.068524058,0.034226244
227,MG1655,1,0.005,0.002087683,0.001042751,3,0.086852795,0.04338104
228,MG1655,1,0.005,0.002087683,0.001042751,4,0,0
229,MG1655,1,0.005,0.002087683,0.001042751,5,0,0
230,MG1655,1,0.005,0.002087683,0.001042751,6,0.075620405,0.037770711
231,MG1655,1,0.005,0.002087683,0.001042751,7,0,0
232,MG1655,1,0.02,0.027777778,0.027389258,0,0.005657038,0.005577914
233,MG1655,1,0.02,0.027777778,0.027389258,1,0,0
234,MG1655,1,0.02,0.027777778,0.027389258,2,0.005949129,0.005865921
235,MG1655,1,0.02,0.027777778,0.027389258,3,0.012324205,0.01215183
236,MG1655,1,0.02,0.027777778,0.027389258,4,0.006084237,0.005999138
237,MG1655,1,0.02,0.027777778,0.027389258,5,0.005697222,0.005617536
238,MG1655,1,0.02,0.027777778,0.027389258,6,0.010617458,0.010468954
239,MG1655,1,0.02,0.027777778,0.027389258,7,0.005128472,0.005056742
240,MG1655,2,0.002,0.001784845,0.000537671,0,0.190850504,0.057492217
241,MG1655,2,0.002,0.001784845,0.000537671,1,0,0
242,MG1655,2,0.002,0.001784845,0.000537671,2,0,0
243,MG1655,2,0.002,0.001784845,0.000537671,3,0.099981033,0.030118502
244,MG1655,2,0.002,0.001784845,0.000537671,4,0.092132833,0.027754293
245,MG1655,2,0.002,0.001784845,0.000537671,5,0.077351689,0.023301589
246,MG1655,2,0.002,0.001784845,0.000537671,6,0.266626581,0.080319165
247,MG1655,2,0.002,0.001784845,0.000537671,7,0,0
248,MG1655,2,0.005,0.002087683,0.001042751,0,0.068089028,0.034008956
249,MG1655,2,0.005,0.002087683,0.001042751,1,0.073376336,0.036649848
250,MG1655,2,0.005,0.002087683,0.001042751,2,0.205572174,0.102678731
251,MG1655,2,0.005,0.002087683,0.001042751,3,0.086852795,0.04338104
252,MG1655,2,0.005,0.002087683,0.001042751,4,0.163549344,0.081689261
253,MG1655,2,0.005,0.002087683,0.001042751,5,0.137630813,0.068743531
254,MG1655,2,0.005,0.002087683,0.001042751,6,0.226861215,0.113312133
255,MG1655,2,0.005,0.002087683,0.001042751,7,0.13913191,0.069493296
256,MG1655,2,0.02,0.027777778,0.027389258,0,0.022628151,0.022311658
257,MG1655,2,0.02,0.027777778,0.027389258,1,0.028486109,0.028087682
258,MG1655,2,0.02,0.027777778,0.027389258,2,0.035694776,0.035195524
259,MG1655,2,0.02,0.027777778,0.027389258,3,0.036972616,0.036455491
260,MG1655,2,0.02,0.027777778,0.027389258,4,0.03650542,0.035994829
261,MG1655,2,0.02,0.027777778,0.027389258,5,0.028486109,0.028087682
262,MG1655,2,0.02,0.027777778,0.027389258,6,0.053087288,0.052344772
263,MG1655,2,0.02,0.027777778,0.027389258,7,0.025642361,0.025283709
264,MG1655,3,0.002,0.001784845,0.000537671,0,0.190850504,0.057492217
265,MG1655,3,0.002,0.001784845,0.000537671,1,0.192767146,0.05806959
266,MG1655,3,0.002,0.001784845,0.000537671,2,0.26351438,0.079381639
267,MG1655,3,0.002,0.001784845,0.000537671,3,0.099981033,0.030118502
268,MG1655,3,0.002,0.001784845,0.000537671,4,0.368531333,0.111017172
269,MG1655,3,0.002,0.001784845,0.000537671,5,0.386758444,0.116507946
270,MG1655,3,0.002,0.001784845,0.000537671,6,0,0
271,MG1655,3,0.002,0.001784845,0.000537671,7,0.242529825,0.073060206
272,MG1655,3,0.005,0.002087683,0.001042751,0,0.612801249,0.3060806
273,MG1655,3,0.005,0.002087683,0.001042751,1,0.660387023,0.329848636
274,MG1655,3,0.005,0.002087683,0.001042751,2,0.68524058,0.342262435
275,MG1655,3,0.005,0.002087683,0.001042751,3,1.389644719,0.694096641
276,MG1655,3,0.005,0.002087683,0.001042751,4,1.144845408,0.571824828
277,MG1655,3,0.005,0.002087683,0.001042751,5,1.032231098,0.515576484
278,MG1655,3,0.005,0.002087683,0.001042751,6,0.831824456,0.415477822
