,Genotype,Chloramphenicol concentration (ug/mL),Expected initial mutant fraction,Measured initial mutant fraction,Measured initial mutant fraction error,Replicate,Establishment probability,Establishment probability error
440,gpmI,2,0.005,0.00462963,0.001234453,0,0.097945215,0.026116294
441,gpmI,2,0.005,0.00462963,0.001234453,1,0,0
442,gpmI,2,0.005,0.00462963,0.001234453,2,0,0
443,gpmI,2,0.005,0.00462963,0.001234453,3,0.074129409,0.019766003
444,gpmI,2,0.005,0.00462963,0.001234453,4,0.06128335,0.016340706
445,gpmI,2,0.005,0.00462963,0.001234453,5,0.031991568,0.008530291
446,gpmI,2,0.005,0.00462963,0.001234453,6,0.116878697,0.031164752
447,gpmI,2,0.005,0.00462963,0.001234453,7,0.063014298,0.016802249
448,gpmI,2,0.02,0.016173752,0.002711665,0,0.056072346,0.009400997
449,gpmI,2,0.02,0.016173752,0.002711665,1,0.018690782,0.003133666
450,gpmI,2,0.02,0.016173752,0.002711665,2,0.028156859,0.004720733
451,gpmI,2,0.02,0.016173752,0.002711665,3,0.028541859,0.004785281
452,gpmI,2,0.02,0.016173752,0.002711665,4,0.063408595,0.01063098
453,gpmI,2,0.02,0.016173752,0.002711665,5,0.061612511,0.010329852
454,gpmI,2,0.02,0.016173752,0.002711665,6,0.049984874,0.008380381
455,gpmI,2,0.02,0.016173752,0.002711665,7,0.024072621,0.004035976
456,gpmI,3,0.002,0.002043597,0.000833442,0,0.693039095,0.28264276
457,gpmI,3,0.002,0.002043597,0.000833442,1,0.604805844,0.246658513
458,gpmI,3,0.002,0.002043597,0.000833442,2,0.255175726,0.104068547
459,gpmI,3,0.002,0.002043597,0.000833442,3,0.609605419,0.248615928
460,gpmI,3,0.002,0.002043597,0.000833442,4,0.442666737,0.180533175
461,gpmI,3,0.002,0.002043597,0.000833442,5,0.57352929,0.233902968
462,gpmI,3,0.002,0.002043597,0.000833442,6,0.334345247,0.136356324
463,gpmI,3,0.002,0.002043597,0.000833442,7,0.150593603,0.061416725
464,gpmI,3,0.005,0.00462963,0.001234453,0,0.32648405,0.087054312
465,gpmI,3,0.005,0.00462963,0.001234453,1,0.317383043,0.084627603
466,gpmI,3,0.005,0.00462963,0.001234453,2,0.363971164,0.097049946
467,gpmI,3,0.005,0.00462963,0.001234453,3,0.444776456,0.118596018
468,gpmI,3,0.005,0.00462963,0.001234453,4,0.306416749,0.08170353
469,gpmI,3,0.005,0.00462963,0.001234453,5,0.319915679,0.085302909
470,gpmI,3,0.005,0.00462963,0.001234453,6,0.233757395,0.062329505
471,gpmI,3,0.005,0.00462963,0.001234453,7,0.31507149,0.084011246
472,gpmI,3,0.02,0.016173752,0.002711665,0,0.177562428,0.029769823
473,gpmI,3,0.02,0.016173752,0.002711665,1,,
474,gpmI,3,0.02,0.016173752,0.002711665,2,0.131398677,0.022030085
475,gpmI,3,0.02,0.016173752,0.002711665,3,0.133195343,0.022331311
476,gpmI,3,0.02,0.016173752,0.002711665,4,,
477,gpmI,3,0.02,0.016173752,0.002711665,5,,
478,gpmI,3,0.02,0.016173752,0.002711665,6,,
479,gpmI,3,0.02,0.016173752,0.002711665,7,,
480,lpcA,0,0.002,0.047619048,0.020782656,0,,
481,lpcA,0,0.002,0.047619048,0.020782656,1,0,0
482,lpcA,0,0.002,0.047619048,0.020782656,2,0,0
483,lpcA,0,0.002,0.047619048,0.020782656,3,0,0
484,lpcA,0,0.002,0.047619048,0.020782656,4,0.003747464,0.001635527
485,lpcA,0,0.002,0.047619048,0.020782656,5,0,0
486,lpcA,0,0.002,0.047619048,0.020782656,6,0,0
487,lpcA,0,0.002,0.047619048,0.020782656,7,,
488,lpcA,0,0.005,0.032608696,0.018517139,0,,
489,lpcA,0,0.005,0.032608696,0.018517139,1,0.005401236,0.00306714
490,lpcA,0,0.005,0.032608696,0.018517139,2,0,0
491,lpcA,0,0.005,0.032608696,0.018517139,3,0,0
492,lpcA,0,0.005,0.032608696,0.018517139,4,0,0
493,lpcA,0,0.005,0.032608696,0.018517139,5,0,0
494,lpcA,0,0.005,0.032608696,0.018517139,6,0.005196338,0.002950787
495,lpcA,0,0.005,0.032608696,0.018517139,7,0,0
496,lpcA,0,0.02,0.112884835,0.010685824,0,0.001217952,0.000115293
497,lpcA,0,0.02,0.112884835,0.010685824,1,0.001329759,0.000125877
498,lpcA,0,0.02,0.112884835,0.010685824,2,0.001300614,0.000123118
499,lpcA,0,0.02,0.112884835,0.010685824,3,0.001160941,0.000109896
500,lpcA,0,0.02,0.112884835,0.010685824,4,0,0
501,lpcA,0,0.02,0.112884835,0.010685824,5,0.001174692,0.000111198
502,lpcA,0,0.02,0.112884835,0.010685824,6,0.001225626,0.000116019
503,lpcA,0,0.02,0.112884835,0.010685824,7,0.001117266,0.000105762
504,lpcA,1,0.002,0.047619048,0.020782656,0,,
505,lpcA,1,0.002,0.047619048,0.020782656,1,,
506,lpcA,1,0.002,0.047619048,0.020782656,2,,
507,lpcA,1,0.002,0.047619048,0.020782656,3,,
508,lpcA,1,0.002,0.047619048,0.020782656,4,,
509,lpcA,1,0.002,0.047619048,0.020782656,5,,
510,lpcA,1,0.002,0.047619048,0.020782656,6,,
511,lpcA,1,0.002,0.047619048,0.020782656,7,,
512,lpcA,1,0.005,0.032608696,0.018517139,0,,
513,lpcA,1,0.005,0.032608696,0.018517139,1,,
514,lpcA,1,0.005,0.032608696,0.018517139,2,,
515,lpcA,1,0.005,0.032608696,0.018517139,3,,
516,lpcA,1,0.005,0.032608696,0.018517139,4,,
517,lpcA,1,0.005,0.032608696,0.018517139,5,,
518,lpcA,1,0.005,0.032608696,0.018517139,6,,
519,lpcA,1,0.005,0.032608696,0.018517139,7,,
520,lpcA,1,0.02,0.112884835,0.010685824,0,,
521,lpcA,1,0.02,0.112884835,0.010685824,1,,
522,lpcA,1,0.02,0.112884835,0.010685824,2,,
523,lpcA,1,0.02,0.112884835,0.010685824,3,,
524,lpcA,1,0.02,0.112884835,0.010685824,4,,
525,lpcA,1,0.02,0.112884835,0.010685824,5,,
526,lpcA,1,0.02,0.112884835,0.010685824,6,,
527,lpcA,1,0.02,0.112884835,0.010685824,7,,
528,lpcA,2,0.002,0.047619048,0.020782656,0,,
529,lpcA,2,0.002,0.047619048,0.020782656,1,,
530,lpcA,2,0.002,0.047619048,0.020782656,2,,
531,lpcA,2,0.002,0.047619048,0.020782656,3,,
532,lpcA,2,0.002,0.047619048,0.020782656,4,,
533,lpcA,2,0.002,0.047619048,0.020782656,5,,
534,lpcA,2,0.002,0.047619048,0.020782656,6,,
535,lpcA,2,0.002,0.047619048,0.020782656,7,,
536,lpcA,2,0.005,0.032608696,0.018517139,0,,
537,lpcA,2,0.005,0.032608696,0.018517139,1,,
538,lpcA,2,0.005,0.032608696,0.018517139,2,,
539,lpcA,2,0.005,0.032608696,0.018517139,3,,
540,lpcA,2,0.005,0.032608696,0.018517139,4,,
541,lpcA,2,0.005,0.032608696,0.018517139,5,,
542,lpcA,2,0.005,0.032608696,0.018517139,6,,
543,lpcA,2,0.005,0.032608696,0.018517139,7,,
544,lpcA,2,0.02,0.112884835,0.010685824,0,,
545,lpcA,2,0.02,0.112884835,0.010685824,1,,
546,lpcA,2,0.02,0.112884835,0.010685824,2,,
547,lpcA,2,0.02,0.112884835,0.010685824,3,,
548,lpcA,2,0.02,0.112884835,0.010685824,4,,
549,lpcA,2,0.02,0.112884835,0.010685824,5,,
550,lpcA,2,0.02,0.112884835,0.010685824,6,,
551,lpcA,2,0.02,0.112884835,0.010685824,7,,
552,lpcA,3,0.002,0.047619048,0.020782656,0,,
553,lpcA,3,0.002,0.047619048,0.020782656,1,,
554,lpcA,3,0.002,0.047619048,0.020782656,2,,
555,lpcA,3,0.002,0.047619048,0.020782656,3,,
556,lpcA,3,0.002,0.047619048,0.020782656,4,,
557,lpcA,3,0.002,0.047619048,0.020782656,5,,
558,lpcA,3,0.002,0.047619048,0.020782656,6,,
559,lpcA,3,0.002,0.047619048,0.020782656,7,,
560,lpcA,3,0.005,0.032608696,0.018517139,0,,
561,lpcA,3,0.005,0.032608696,0.018517139,1,,
562,lpcA,3,0.005,0.032608696,0.018517139,2,,
563,lpcA,3,0.005,0.032608696,0.018517139,3,,
564,lpcA,3,0.005,0.032608696,0.018517139,4,,
565,lpcA,3,0.005,0.032608696,0.018517139,5,,
566,lpcA,3,0.005,0.032608696,0.018517139,6,,
567,lpcA,3,0.005,0.032608696,0.018517139,7,,
568,lpcA,3,0.02,0.112884835,0.010685824,0,,
569,lpcA,3,0.02,0.112884835,0.010685824,1,,
570,lpcA,3,0.02,0.112884835,0.010685824,2,,
571,lpcA,3,0.02,0.112884835,0.010685824,3,,
572,lpcA,3,0.02,0.112884835,0.010685824,4,,
573,lpcA,3,0.02,0.112884835,0.010685824,5,,
574,lpcA,3,0.02,0.112884835,0.010685824,6,,
575,lpcA,3,0.02,0.112884835,0.010685824,7,,
576,pgm,0,0.002,0.002765487,0.001235052,0,0,0
577,pgm,0,0.002,0.002765487,0.001235052,1,0,0
578,pgm,0,0.002,0.002765487,0.001235052,2,0,0
579,pgm,0,0.002,0.002765487,0.001235052,3,0,0
580,pgm,0,0.002,0.002765487,0.001235052,4,0,0
581,pgm,0,0.002,0.002765487,0.001235052,5,0,0
582,pgm,0,0.002,0.002765487,0.001235052,6,0,0
583,pgm,0,0.002,0.002765487,0.001235052,7,0,0
584,pgm,0,0.005,0.002478754,0.000935719,0,0,0
585,pgm,0,0.005,0.002478754,0.000935719,1,0.06339473,0.023931238
586,pgm,0,0.005,0.002478754,0.000935719,2,0,0
587,pgm,0,0.005,0.002478754,0.000935719,3,0,0
588,pgm,0,0.005,0.002478754,0.000935719,4,0,0
589,pgm,0,0.005,0.002478754,0.000935719,5,0,0
590,pgm,0,0.005,0.002478754,0.000935719,6,0,0
591,pgm,0,0.005,0.002478754,0.000935719,7,0,0
592,pgm,0,0.02,0.017409471,0.003451452,0,0.00767785,0.001522145
593,pgm,0,0.02,0.017409471,0.003451452,1,0,0
594,pgm,0,0.02,0.017409471,0.003451452,2,0,0
595,pgm,0,0.02,0.017409471,0.003451452,3,0,0
596,pgm,0,0.02,0.017409471,0.003451452,4,0,0
597,pgm,0,0.02,0.017409471,0.003451452,5,0.008252103,0.001635991
598,pgm,0,0.02,0.017409471,0.003451452,6,0,0
599,pgm,0,0.02,0.017409471,0.003451452,7,0,0
600,pgm,1,0.002,0.002765487,0.001235052,0,0,0
601,pgm,1,0.002,0.002765487,0.001235052,1,0,0
602,pgm,1,0.002,0.002765487,0.001235052,2,0,0
603,pgm,1,0.002,0.002765487,0.001235052,3,0,0
604,pgm,1,0.002,0.002765487,0.001235052,4,0,0
605,pgm,1,0.002,0.002765487,0.001235052,5,0,0
606,pgm,1,0.002,0.002765487,0.001235052,6,0,0
607,pgm,1,0.002,0.002765487,0.001235052,7,0,0
608,pgm,1,0.005,0.002478754,0.000935719,0,0,0
609,pgm,1,0.005,0.002478754,0.000935719,1,0,0
610,pgm,1,0.005,0.002478754,0.000935719,2,0,0
611,pgm,1,0.005,0.002478754,0.000935719,3,0,0
612,pgm,1,0.005,0.002478754,0.000935719,4,0,0
613,pgm,1,0.005,0.002478754,0.000935719,5,0,0
614,pgm,1,0.005,0.002478754,0.000935719,6,0,0
615,pgm,1,0.005,0.002478754,0.000935719,7,0,0
616,pgm,1,0.02,0.017409471,0.003451452,0,0,0
617,pgm,1,0.02,0.017409471,0.003451452,1,0,0
618,pgm,1,0.02,0.017409471,0.003451452,2,0,0
619,pgm,1,0.02,0.017409471,0.003451452,3,0,0
620,pgm,1,0.02,0.017409471,0.003451452,4,0,0
621,pgm,1,0.02,0.017409471,0.003451452,5,0,0
622,pgm,1,0.02,0.017409471,0.003451452,6,0,0
623,pgm,1,0.02,0.017409471,0.003451452,7,0,0
624,pgm,2,0.002,0.002765487,0.001235052,0,0,0
625,pgm,2,0.002,0.002765487,0.001235052,1,0.065938271,0.029447687
626,pgm,2,0.002,0.002765487,0.001235052,2,0,0
627,pgm,2,0.002,0.002765487,0.001235052,3,0.063847158,0.028513807
628,pgm,2,0.002,0.002765487,0.001235052,4,0,0
629,pgm,2,0.002,0.002765487,0.001235052,5,0,0
630,pgm,2,0.002,0.002765487,0.001235052,6,0.063346219,0.028290089
631,pgm,2,0.002,0.002765487,0.001235052,7,0,0
632,pgm,2,0.005,0.002478754,0.000935719,0,0,0
633,pgm,2,0.005,0.002478754,0.000935719,1,0,0
634,pgm,2,0.005,0.002478754,0.000935719,2,0,0
635,pgm,2,0.005,0.002478754,0.000935719,3,0,0
636,pgm,2,0.005,0.002478754,0.000935719,4,0,0
637,pgm,2,0.005,0.002478754,0.000935719,5,0.058085561,0.02192705
638,pgm,2,0.005,0.002478754,0.000935719,6,0,0
639,pgm,2,0.005,0.002478754,0.000935719,7,0,0
640,pgm,2,0.02,0.017409471,0.003451452,0,0.00767785,0.001522145
641,pgm,2,0.02,0.017409471,0.003451452,1,0.017244593,0.003418765
642,pgm,2,0.02,0.017409471,0.003451452,2,0,0
643,pgm,2,0.02,0.017409471,0.003451452,3,0,0
644,pgm,2,0.02,0.017409471,0.003451452,4,0.016684213,0.003307669
645,pgm,2,0.02,0.017409471,0.003451452,5,0.008252103,0.001635991
646,pgm,2,0.02,0.017409471,0.003451452,6,0.015233653,0.003020093
647,pgm,2,0.02,0.017409471,0.003451452,7,0,0
648,pgm,3,0.002,0.002765487,0.001235052,0,0.06401642,0.028589398
649,pgm,3,0.002,0.002765487,0.001235052,1,,
650,pgm,3,0.002,0.002765487,0.001235052,2,0.063847158,0.028513807
651,pgm,3,0.002,0.002765487,0.001235052,3,0.191541475,0.08554142
652,pgm,3,0.002,0.002765487,0.001235052,4,0.065049741,0.029050874
653,pgm,3,0.002,0.002765487,0.001235052,5,0.062523854,0.027922826
654,pgm,3,0.002,0.002765487,0.001235052,6,0.126692437,0.056580179
655,pgm,3,0.002,0.002765487,0.001235052,7,0.059315511,0.026489997
656,pgm,3,0.005,0.002478754,0.000935719,0,0.246062121,0.092887394
657,pgm,3,0.005,0.002478754,0.000935719,1,0.19018419,0.071793715
658,pgm,3,0.005,0.002478754,0.000935719,2,0.538695708,0.203355317
659,pgm,3,0.005,0.002478754,0.000935719,3,0.192406532,0.07263264
660,pgm,3,0.005,0.002478754,0.000935719,4,0.118982917,0.04491554
661,pgm,3,0.005,0.002478754,0.000935719,5,0.174256684,0.06578115
662,pgm,3,0.005,0.002478754,0.000935719,6,0.283189083,0.106902663
663,pgm,3,0.005,0.002478754,0.000935719,7,0.248312366,0.093736852
664,pgm,3,0.02,0.017409471,0.003451452,0,0.069100654,0.013699302
665,pgm,3,0.02,0.017409471,0.003451452,1,0.05173378,0.010256295
666,pgm,3,0.02,0.017409471,0.003451452,2,0.051962085,0.010301557
667,pgm,3,0.02,0.017409471,0.003451452,3,0.039023069,0.007736378
668,pgm,3,0.02,0.017409471,0.003451452,4,0.016684213,0.003307669
669,pgm,3,0.02,0.017409471,0.003451452,5,0.07426893,0.01472392
670,pgm,3,0.02,0.017409471,0.003451452,6,0.045700959,0.009060279
671,pgm,3,0.02,0.017409471,0.003451452,7,0.036290885,0.007194719
672,recB,0,0.002,0.005964215,0.003433157,0,0,0
673,recB,0,0.002,0.005964215,0.003433157,1,0,0
674,recB,0,0.002,0.005964215,0.003433157,2,0,0
675,recB,0,0.002,0.005964215,0.003433157,3,0,0
676,recB,0,0.002,0.005964215,0.003433157,4,0,0
677,recB,0,0.002,0.005964215,0.003433157,5,0,0
678,recB,0,0.002,0.005964215,0.003433157,6,0,0
679,recB,0,0.002,0.005964215,0.003433157,7,0,0
680,recB,0,0.005,0.005319149,0.002652492,0,0,0
681,recB,0,0.005,0.005319149,0.002652492,1,0,0
682,recB,0,0.005,0.005319149,0.002652492,2,0.032679184,0.016296078
683,recB,0,0.005,0.005319149,0.002652492,3,0,0
684,recB,0,0.005,0.005319149,0.002652492,4,0,0
685,recB,0,0.005,0.005319149,0.002652492,5,0,0
686,recB,0,0.005,0.005319149,0.002652492,6,0,0
687,recB,0,0.005,0.005319149,0.002652492,7,0,0
688,recB,0,0.02,0.01059322,0.004712273,0,0,0
689,recB,0,0.02,0.01059322,0.004712273,1,0,0
690,recB,0,0.02,0.01059322,0.004712273,2,0,0
691,recB,0,0.02,0.01059322,0.004712273,3,0,0
692,recB,0,0.02,0.01059322,0.004712273,4,0.027359343,0.012170491
693,recB,0,0.02,0.01059322,0.004712273,5,0,0
694,recB,0,0.02,0.01059322,0.004712273,6,0,0
695,recB,0,0.02,0.01059322,0.004712273,7,0.028216906,0.012551968
696,recB,1,0.002,0.005964215,0.003433157,0,0,0
697,recB,1,0.002,0.005964215,0.003433157,1,0,0
698,recB,1,0.002,0.005964215,0.003433157,2,0.029839583,0.017176438
699,recB,1,0.002,0.005964215,0.003433157,3,0,0
700,recB,1,0.002,0.005964215,0.003433157,4,0,0
701,recB,1,0.002,0.005964215,0.003433157,5,0,0
702,recB,1,0.002,0.005964215,0.003433157,6,0.030162261,0.017362181
703,recB,1,0.002,0.005964215,0.003433157,7,0,0
704,recB,1,0.005,0.005319149,0.002652492,0,0,0
705,recB,1,0.005,0.005319149,0.002652492,1,0,0
706,recB,1,0.005,0.005319149,0.002652492,2,0,0
707,recB,1,0.005,0.005319149,0.002652492,3,0,0
708,recB,1,0.005,0.005319149,0.002652492,4,0,0
709,recB,1,0.005,0.005319149,0.002652492,5,0,0
710,recB,1,0.005,0.005319149,0.002652492,6,0.027186079,0.01355684
711,recB,1,0.005,0.005319149,0.002652492,7,0.026782022,0.013355349
712,recB,1,0.02,0.01059322,0.004712273,0,0.076466906,0.03401543
713,recB,1,0.02,0.01059322,0.004712273,1,0.014939382,0.006645614
714,recB,1,0.02,0.01059322,0.004712273,2,0.015914485,0.007079377
715,recB,1,0.02,0.01059322,0.004712273,3,0.064794602,0.028823139
716,recB,1,0.02,0.01059322,0.004712273,4,0,0
717,recB,1,0.02,0.01059322,0.004712273,5,0.040256401,0.0179076
718,recB,1,0.02,0.01059322,0.004712273,6,0.053340218,0.023727787
719,recB,1,0.02,0.01059322,0.004712273,7,0,0
720,recB,2,0.002,0.005964215,0.003433157,0,0.058744745,0.033815
721,recB,2,0.002,0.005964215,0.003433157,1,0,0
722,recB,2,0.002,0.005964215,0.003433157,2,0,0
723,recB,2,0.002,0.005964215,0.003433157,3,0.06097417,0.035098315
724,recB,2,0.002,0.005964215,0.003433157,4,0.1190373,0.06852096
725,recB,2,0.002,0.005964215,0.003433157,5,0.056108057,0.032297254
726,recB,2,0.002,0.005964215,0.003433157,6,0.090486784,0.052086542
727,recB,2,0.002,0.005964215,0.003433157,7,0.022866436,0.013162514
728,recB,2,0.005,0.005319149,0.002652492,0,0.184337648,0.091923367
729,recB,2,0.005,0.005319149,0.002652492,1,0.125207793,0.062437175
730,recB,2,0.005,0.005319149,0.002652492,2,0.163395921,0.081480388
731,recB,2,0.005,0.005319149,0.002652492,3,0.034556606,0.017232289
732,recB,2,0.005,0.005319149,0.002652492,4,0.096060075,0.047902127
733,recB,2,0.005,0.005319149,0.002652492,5,0.087194727,0.043481258
734,recB,2,0.005,0.005319149,0.002652492,6,0.135930396,0.067784198
735,recB,2,0.005,0.005319149,0.002652492,7,0.133910108,0.066776744
736,recB,2,0.02,0.01059322,0.004712273,0,0.050977937,0.022676953
737,recB,2,0.02,0.01059322,0.004712273,1,0.149393822,0.066456136
738,recB,2,0.02,0.01059322,0.004712273,2,0.079572424,0.035396884
739,recB,2,0.02,0.01059322,0.004712273,3,0.161986505,0.072057847
740,recB,2,0.02,0.01059322,0.004712273,4,0.1915154,0.085193438
741,recB,2,0.02,0.01059322,0.004712273,5,0.120769204,0.053722801
742,recB,2,0.02,0.01059322,0.004712273,6,0.133350545,0.059319467
743,recB,2,0.02,0.01059322,0.004712273,7,0.112867623,0.050207873
744,recB,3,0.002,0.005964215,0.003433157,0,0.146861862,0.0845375
745,recB,3,0.002,0.005964215,0.003433157,1,0.176234234,0.101445
746,recB,3,0.002,0.005964215,0.003433157,2,0.059679165,0.034352877
747,recB,3,0.002,0.005964215,0.003433157,3,0.091461254,0.052647472
748,recB,3,0.002,0.005964215,0.003433157,4,0.178555951,0.102781441
749,recB,3,0.002,0.005964215,0.003433157,5,0.224432229,0.129189017
750,recB,3,0.002,0.005964215,0.003433157,6,0.120649046,0.069448723
751,recB,3,0.002,0.005964215,0.003433157,7,0.091465744,0.052650057
752,recB,3,0.005,0.005319149,0.002652492,0,0.395009245,0.196978643
753,recB,3,0.005,0.005319149,0.002652492,1,0.406925328,0.202920817
754,recB,3,0.005,0.005319149,0.002652492,2,0.359471025,0.179256854
755,recB,3,0.005,0.005319149,0.002652492,3,0.311009452,0.155090597
756,recB,3,0.005,0.005319149,0.002652492,4,0.352220274,0.175641134
757,recB,3,0.005,0.005319149,0.002652492,5,0.406908728,0.202912539
758,recB,3,0.005,0.005319149,0.002652492,6,0.434977268,0.216909434
759,recB,3,0.005,0.005319149,0.002652492,7,0.294602238,0.146908837
760,recB,3,0.02,0.01059322,0.004712273,0,,
761,recB,3,0.02,0.01059322,0.004712273,1,,
762,recB,3,0.02,0.01059322,0.004712273,2,,
763,recB,3,0.02,0.01059322,0.004712273,3,,
764,recB,3,0.02,0.01059322,0.004712273,4,,
765,recB,3,0.02,0.01059322,0.004712273,5,,
766,recB,3,0.02,0.01059322,0.004712273,6,,
767,recB,3,0.02,0.01059322,0.004712273,7,,
768,rfaF,0,0.002,0.001081081,0.000540248,0,0,0
769,rfaF,0,0.002,0.001081081,0.000540248,1,0,0
770,rfaF,0,0.002,0.001081081,0.000540248,2,,
771,rfaF,0,0.002,0.001081081,0.000540248,3,0,0
772,rfaF,0,0.002,0.001081081,0.000540248,4,0,0
773,rfaF,0,0.002,0.001081081,0.000540248,5,0,0
774,rfaF,0,0.002,0.001081081,0.000540248,6,0,0
775,rfaF,0,0.002,0.001081081,0.000540248,7,0,0
776,rfaF,0,0.005,0.005429864,0.001563205,0,0,0
777,rfaF,0,0.005,0.005429864,0.001563205,1,0,0
778,rfaF,0,0.005,0.005429864,0.001563205,2,0,0
779,rfaF,0,0.005,0.005429864,0.001563205,3,0,0
780,rfaF,0,0.005,0.005429864,0.001563205,4,0,0
781,rfaF,0,0.005,0.005429864,0.001563205,5,0,0
782,rfaF,0,0.005,0.005429864,0.001563205,6,0,0
783,rfaF,0,0.005,0.005429864,0.001563205,7,0,0
784,rfaF,0,0.02,0.012834821,0.002659015,0,0.043753229,0.009064443
785,rfaF,0,0.02,0.012834821,0.002659015,1,0.00997624,0.002066797
786,rfaF,0,0.02,0.012834821,0.002659015,2,0.010712137,0.002219255
787,rfaF,0,0.02,0.012834821,0.002659015,3,0.010455503,0.002166087
788,rfaF,0,0.02,0.012834821,0.002659015,4,0,0
789,rfaF,0,0.02,0.012834821,0.002659015,5,0,0
790,rfaF,0,0.02,0.012834821,0.002659015,6,0,0
791,rfaF,0,0.02,0.012834821,0.002659015,7,0.009957215,0.002062856
792,rfaF,1,0.002,0.001081081,0.000540248,0,0.374993853,0.187395557
793,rfaF,1,0.002,0.001081081,0.000540248,1,0.178856813,0.089380057
794,rfaF,1,0.002,0.001081081,0.000540248,2,,
795,rfaF,1,0.002,0.001081081,0.000540248,3,0.525916048,0.262815856
796,rfaF,1,0.002,0.001081081,0.000540248,4,0.174082516,0.086994199
797,rfaF,1,0.002,0.001081081,0.000540248,5,0.356676192,0.178241678
798,rfaF,1,0.002,0.001081081,0.000540248,6,0.213986102,0.106935205
799,rfaF,1,0.002,0.001081081,0.000540248,7,0.16204442,0.080978406
800,rfaF,1,0.005,0.005429864,0.001563205,0,0.139183997,0.040069729
801,rfaF,1,0.005,0.005429864,0.001563205,1,0.107927449,0.03107127
802,rfaF,1,0.005,0.005429864,0.001563205,2,0.203682012,0.058638084
803,rfaF,1,0.005,0.005429864,0.001563205,3,0.11769429,0.033883049
804,rfaF,1,0.005,0.005429864,0.001563205,4,0.12672858,0.036483934
805,rfaF,1,0.005,0.005429864,0.001563205,5,0.217877652,0.062724872
806,rfaF,1,0.005,0.005429864,0.001563205,6,0.094806722,0.02729394
807,rfaF,1,0.005,0.005429864,0.001563205,7,0.090202754,0.025968502
808,rfaF,1,0.02,0.012834821,0.002659015,0,0.142197993,0.029459439
809,rfaF,1,0.02,0.012834821,0.002659015,1,0.129691122,0.026868366
810,rfaF,1,0.02,0.012834821,0.002659015,2,0.182106324,0.037727327
811,rfaF,1,0.02,0.012834821,0.002659015,3,0.115010531,0.023826959
812,rfaF,1,0.02,0.012834821,0.002659015,4,0.143079141,0.029641988
813,rfaF,1,0.02,0.012834821,0.002659015,5,0.150291217,0.031136128
814,rfaF,1,0.02,0.012834821,0.002659015,6,0.165192632,0.034223284
815,rfaF,1,0.02,0.012834821,0.002659015,7,0.089614934,0.018565703
816,rfaF,2,0.002,0.001081081,0.000540248,0,1.12498156,0.56218667
817,rfaF,2,0.002,0.001081081,0.000540248,1,1.788568135,0.893800573
818,rfaF,2,0.002,0.001081081,0.000540248,2,,
819,rfaF,2,0.002,0.001081081,0.000540248,3,1.402442794,0.700842282
820,rfaF,2,0.002,0.001081081,0.000540248,4,1.218577609,0.608959393
821,rfaF,2,0.002,0.001081081,0.000540248,5,1.42670477,0.712966712
822,rfaF,2,0.002,0.001081081,0.000540248,6,1.283916612,0.641611232
823,rfaF,2,0.002,0.001081081,0.000540248,7,1.296355362,0.647827244
824,rfaF,2,0.005,0.005429864,0.001563205,0,,
825,rfaF,2,0.005,0.005429864,0.001563205,1,,
826,rfaF,2,0.005,0.005429864,0.001563205,2,,
827,rfaF,2,0.005,0.005429864,0.001563205,3,,
828,rfaF,2,0.005,0.005429864,0.001563205,4,,
829,rfaF,2,0.005,0.005429864,0.001563205,5,,
830,rfaF,2,0.005,0.005429864,0.001563205,6,,
831,rfaF,2,0.005,0.005429864,0.001563205,7,,
832,rfaF,2,0.02,0.012834821,0.002659015,0,,
833,rfaF,2,0.02,0.012834821,0.002659015,1,,
834,rfaF,2,0.02,0.012834821,0.002659015,2,,
835,rfaF,2,0.02,0.012834821,0.002659015,3,,
836,rfaF,2,0.02,0.012834821,0.002659015,4,,
837,rfaF,2,0.02,0.012834821,0.002659015,5,,
838,rfaF,2,0.02,0.012834821,0.002659015,6,,
839,rfaF,2,0.02,0.012834821,0.002659015,7,,
840,rfaF,3,0.002,0.001081081,0.000540248,0,,
841,rfaF,3,0.002,0.001081081,0.000540248,1,,
842,rfaF,3,0.002,0.001081081,0.000540248,2,,
843,rfaF,3,0.002,0.001081081,0.000540248,3,,
844,rfaF,3,0.002,0.001081081,0.000540248,4,,
845,rfaF,3,0.002,0.001081081,0.000540248,5,,
846,rfaF,3,0.002,0.001081081,0.000540248,6,,
847,rfaF,3,0.002,0.001081081,0.000540248,7,,
848,rfaF,3,0.005,0.005429864,0.001563205,0,,
849,rfaF,3,0.005,0.005429864,0.001563205,1,,
850,rfaF,3,0.005,0.005429864,0.001563205,2,,
851,rfaF,3,0.005,0.005429864,0.001563205,3,,
852,rfaF,3,0.005,0.005429864,0.001563205,4,,
853,rfaF,3,0.005,0.005429864,0.001563205,5,,
854,rfaF,3,0.005,0.005429864,0.001563205,6,,
855,rfaF,3,0.005,0.005429864,0.001563205,7,,
856,rfaF,3,0.02,0.012834821,0.002659015,0,,
857,rfaF,3,0.02,0.012834821,0.002659015,1,,
858,rfaF,3,0.02,0.012834821,0.002659015,2,,
859,rfaF,3,0.02,0.012834821,0.002659015,3,,
860,rfaF,3,0.02,0.012834821,0.002659015,4,,
861,rfaF,3,0.02,0.012834821,0.002659015,5,,
862,rfaF,3,0.02,0.012834821,0.002659015,6,,
863,rfaF,3,0.02,0.012834821,0.002659015,7,,
